Date,CNY,SGD,SPF,Maxc,Minc,Avgc,PLR,Close
02-Nov-15,10.35,46.93,2104.05,8060.7,7995.6,7987.45,-0.00186,8050.8
04-Nov-15,10.36,46.75,2102.31,8116.1,8027.3,7969.8,-0.00132,8040.2
05-Nov-15,10.38,46.81,2099.93,8031.2,7944.1,7882.75,-0.0106,7955.45
06-Nov-15,10.41,46.54,2099.2,8002.65,7926.15,7875.78,-0.00014,7954.3
09-Nov-15,10.45,46.71,2078.58,7937.75,7771.7,7771.48,-0.00493,7915.2
10-Nov-15,10.41,46.55,2081.72,7885.1,7772.85,7737.85,-0.0168,7783.35
11-Nov-15,10.38,46.53,2075,7847.95,7819.1,7755.53,0.00534,7825
13-Nov-15,10.36,46.39,2023.04,7775.1,7730.9,7716.98,-0.00805,7762.25
16-Nov-15,10.34,46.31,2053.19,7838.85,7714.15,7689.05,0.0057,7806.6
17-Nov-15,10.34,46.33,2050.44,7860.45,7793,7749,0.00396,7837.55
18-Nov-15,10.34,46.46,2083.58,7843.4,7725.05,7750.83,-0.01358,7731.8
19-Nov-15,10.35,46.77,2081.24,7854.9,7765.45,7809.18,0.01425,7842.75
20-Nov-15,10.35,46.75,2089.17,7906.95,7817.8,7826.98,0.00176,7856.55
23-Nov-15,10.39,46.85,2086.59,7877.5,7825.2,7832.98,-0.00093,7849.25
24-Nov-15,10.37,46.98,2089.14,7870.35,7812.65,7829.48,-0.00225,7831.6
27-Nov-15,10.46,47.33,2090.11,7959.3,7879.45,7875.45,0.01409,7942.7
30-Nov-15,10.39,47.11,2080.41,7966,7922.8,7932.48,-0.00094,7935.25
01-Dec-15,10.38,47.25,2102.63,7972.15,7934.15,7939.45,0.00247,7954.9
02-Dec-15,10.41,47.17,2079.51,7979.3,7910.8,7924.18,-0.00296,7931.35
03-Dec-15,10.44,47.89,2049.62,7912.3,7853.3,7842.25,-0.00851,7864.15
04-Dec-15,10.41,47.68,2091.69,7821.4,7775.7,7788.33,-0.01051,7781.9
07-Dec-15,10.42,47.48,2077.07,7825.4,7746.05,7710.5,-0.00212,7765.4
08-Dec-15,10.42,47.46,2063.59,7771.25,7685.45,7659.78,-0.00824,7701.7
09-Dec-15,10.4,47.6,2047.62,7702.85,7606.9,7597.6,-0.01165,7612.5
10-Dec-15,10.37,47.56,2052.23,7691.95,7610,7600.48,0.00926,7683.3
11-Dec-15,10.4,47.52,2012.37,7703.05,7575.3,7590.05,-0.00953,7610.45
14-Dec-15,10.39,47.62,2021.94,7663.95,7551.05,7506.9,0.00519,7650.05
15-Dec-15,10.35,47.54,2043.41,7705,7625.1,7548,0.00663,7700.9
16-Dec-15,10.27,47.25,2073.07,7776.6,7715.75,7557.23,0.00647,7750.9
17-Dec-15,10.24,46.82,2041.89,7852.9,7737.55,7585.48,0.01198,7844.35
18-Dec-15,10.22,46.9,2005.55,7836.15,7753.35,7620.25,-0.01056,7761.95
21-Dec-15,10.22,47.04,2021.15,7840.75,7733.45,7605.68,0.0093,7834.45
22-Dec-15,10.22,47.17,2038.97,7846.3,7776.85,7622.85,-0.00619,7786.1
23-Dec-15,10.19,47.02,2064.29,7871.45,7826.1,7700.88,0.0102,7865.95
29-Dec-15,10.21,46.88,2078.36,7942.15,7902.75,7751.6,0.00798,7928.95
30-Dec-15,10.24,47,2063.36,7944.75,7889.85,7733.08,-0.00413,7896.25
04-Jan-16,10.19,46.75,2012.66,7937.55,7781.1,7600.25,-0.01338,7791.3
05-Jan-16,10.19,46.64,2016.71,7831.2,7763.25,7610.15,-0.00085,7784.65
06-Jan-16,10.17,46.44,1990.26,7800.95,7721.2,7612.18,-0.00562,7741
07-Jan-16,10.15,46.66,1943.09,7674.95,7556.6,7380.63,-0.02256,7568.3
08-Jan-16,10.13,46.33,1922.03,7634.1,7581.05,7352.38,0.00436,7601.35
12-Jan-16,10.19,46.55,1938.68,7588.3,7487.8,7351.45,-0.01205,7510.3
13-Jan-16,10.18,46.58,1890.28,7590.95,7425.8,7326.33,0.00691,7562.4
14-Jan-16,10.21,46.85,1921.84,7604.8,7443.8,7348.1,-0.00339,7536.8
19-Jan-16,10.3,47.13,1881.33,7462.75,7364.15,7302.93,-0.01359,7435.1
20-Jan-16,10.33,47.27,1859.33,7470.9,7241.5,7166.15,-0.01706,7309.3
21-Jan-16,10.3,47.34,1868.99,7398.7,7250,7142.1,-0.00446,7276.8
22-Jan-16,10.27,47.24,1906.9,7433.4,7327.6,7190.25,0.01982,7422.45
25-Jan-16,10.3,47.37,1877.08,7487.15,7421.2,7257.9,0.00184,7436.15
27-Jan-16,10.36,47.58,1882.95,7477.9,7419.7,7327.6,0.00022,7437.75
28-Jan-16,10.35,47.66,1893.36,7468.85,7409.6,7394.98,-0.00176,7424.65
29-Jan-16,10.32,47.66,1940.24,7575.65,7402.8,7443.38,0.01854,7563.55
01-Feb-16,10.31,47.68,1939.38,7600.45,7541.25,7523.58,-0.00101,7555.95
02-Feb-16,10.33,47.6,1903.03,7576.3,7428.05,7477.6,-0.01338,7455.55
03-Feb-16,10.33,48.05,1912.53,7419.4,7350.3,7444.65,-0.01265,7361.8
04-Feb-16,10.29,48.33,1915.45,7457.05,7365.95,7456.53,0.00572,7404
05-Feb-16,10.32,48.2,1880.05,7503.15,7406.65,7475.3,0.01143,7489.1
16-Feb-16,10.51,48.74,1895.58,7204.65,7037.7,7310.7,-0.06067,7048.25
17-Feb-16,10.47,48.69,1926.82,7123.7,6960.65,7252.93,0.0085,7108.45
18-Feb-16,10.51,48.87,1917.83,7215.1,7127.85,7317.93,0.01165,7191.75
19-Feb-16,10.51,48.78,1917.78,7226.85,7145.95,7365.63,0.00264,7210.75
22-Feb-16,10.51,48.97,1945.5,7252.4,7200.7,7407.15,0.0033,7234.55
23-Feb-16,10.5,48.72,1921.27,7241.7,7090.7,7409.45,-0.01743,7109.55
24-Feb-16,10.48,48.69,1929.8,7090.8,7009.75,7368.3,-0.01286,7018.7
25-Feb-16,10.53,49.05,1951.7,7034.2,6961.4,7307.15,-0.00688,6970.6
26-Feb-16,10.51,48.85,1948.05,7052.9,6985.1,7363.53,0.00845,7029.75
29-Feb-16,10.41,48.49,1932.23,7094.6,6825.8,7301.7,-0.00609,6987.05
01-Mar-16,10.34,48.37,1978.35,7235.5,7035.1,7387.63,0.03312,7222.3
02-Mar-16,10.29,48.25,1986.45,7380.35,7308.15,7522.23,0.02009,7368.85
03-Mar-16,10.28,48.33,1993.4,7483.95,7406.05,7522.35,0.01438,7475.6
04-Mar-16,10.29,48.69,1999.99,7505.9,7444.1,7537.43,0.0013,7485.35
08-Mar-16,10.35,48.6,1979.26,7527.15,7442.15,7505.75,-0.00001,7485.3
09-Mar-16,10.31,48.59,1989.26,7539,7424.3,7551.55,0.00619,7531.8
10-Mar-16,10.34,48.76,1989.57,7547.1,7447.4,7582.4,-0.00608,7486.15
11-Mar-16,10.3,48.73,2022.19,7543.95,7460.6,7662.7,0.00321,7510.2
14-Mar-16,10.33,48.78,2019.64,7583.7,7515.05,7717.83,0.00379,7538.75
15-Mar-16,10.34,48.75,2015.93,7545.2,7452.8,7701.6,-0.01042,7460.6
16-Mar-16,10.3,49.22,2027.22,7508,7405.15,7691.8,0.0051,7498.75
17-Mar-16,10.29,49.35,2040.59,7585.3,7479.4,7701.38,0.00184,7512.55
18-Mar-16,10.26,48.87,2049.58,7613.6,7517.9,7714.45,0.01215,7604.35
22-Mar-16,10.29,49.1,2049.8,7728.2,7643.8,7809.15,0.01443,7714.9
23-Mar-16,10.29,48.97,2036.71,7726.85,7670.6,7830.8,0.00021,7716.5
29-Mar-16,10.2,49.01,2055.01,7652.9,7582.25,7787.13,-0.01561,7597
30-Mar-16,10.27,49.16,2063.95,7741.95,7643.45,7691.18,0.01803,7735.2
31-Mar-16,10.27,49.13,2059.74,7777.6,7702,7787.83,0.00041,7738.4
01-Apr-16,10.24,49.13,2072.78,7740.15,7666.1,7781.5,-0.00328,7713.05
05-Apr-16,10.25,49.01,2045.17,7736.3,7588.65,7740.88,-0.01434,7603.2
06-Apr-16,10.26,49.38,2066.66,7638.65,7591.75,7753.9,0.00147,7614.35
07-Apr-16,10.33,49.35,2041.91,7630.75,7535.85,7708.43,-0.00896,7546.45
08-Apr-16,10.29,49.33,2047.6,7569.35,7526.7,7700.3,0.00116,7555.2
11-Apr-16,10.26,49.31,2041.99,7678.8,7516.85,7728.48,0.01526,7671.4
12-Apr-16,10.25,49.34,2061.72,7717.4,7663.35,7772.7,0.00488,7708.95
13-Apr-16,10.26,49.23,2082.42,7864.8,7772.2,7824.2,0.01819,7850.45
18-Apr-16,10.26,49.15,2094.34,7920.6,7842.75,7827.58,0.00815,7914.7
20-Apr-16,10.23,49.23,2102.4,7950.4,7877.55,7849.08,0.00001,7914.75
21-Apr-16,10.26,49.28,2091.48,7978.45,7884.1,7822.83,-0.00034,7912.05
22-Apr-16,10.25,49.21,2091.58,7923.35,7873.35,7907.28,-0.00161,7899.3
25-Apr-16,10.27,49.32,2087.79,7911,7827,7955,-0.00562,7855.05
26-Apr-16,10.23,49.13,2091.7,7974.5,7822.55,7993.38,0.01361,7962.65
27-Apr-16,10.22,49.19,2095.15,7991,7940.55,8077.08,0.00216,7979.9
28-Apr-16,10.25,49.36,2075.81,7992,7834.45,8024.9,-0.01676,7847.25
06-May-16,10.25,48.92,2057.14,7738.9,7678.35,7953.93,-0.01461,7733.45
09-May-16,10.22,48.66,2058.69,7873.65,7753.55,8007.78,0.017,7866.05
10-May-16,10.25,48.69,2084.39,7896.9,7837.7,8036.2,0.00276,7887.8
11-May-16,10.24,48.74,2064.46,7893.1,7780.9,8037.93,-0.00495,7848.85
12-May-16,10.24,48.62,2064.11,7916.05,7849.65,8069.28,0.00655,7900.4
13-May-16,10.25,48.71,2046.61,7881,7784.2,7954.73,-0.01088,7814.9
16-May-16,10.25,48.81,2066.66,7873.9,7772.15,7953.55,0.00585,7860.75
17-May-16,10.27,48.8,2047.21,7940.1,7879.7,8046.45,0.00381,7890.75
18-May-16,10.3,48.58,2047.63,7882.05,7810.75,7995.7,-0.00261,7870.15
19-May-16,10.29,48.83,2040.04,7876.2,7766.8,7981.03,-0.01108,7783.4
20-May-16,10.28,48.79,2052.32,7812.4,7735.75,7989.95,-0.00434,7749.7
23-May-16,10.31,48.93,2048.04,7820.6,7722.2,7989.73,-0.00241,7731.05
24-May-16,10.26,48.95,2076.06,7761.55,7715.8,7977.08,0.0023,7748.85
25-May-16,10.21,48.81,2090.54,7941.2,7809.3,8047.45,0.02373,7934.9
26-May-16,10.21,48.72,2090.1,8083,7948.5,8024.6,0.01684,8069.65
27-May-16,10.2,48.59,2099.06,8164.2,8077.05,8098.85,0.01072,8156.65
31-May-16,10.26,48.78,2096.95,8213.6,8134.3,8140.33,0.00042,8160.1
01-Jun-16,10.22,48.97,2099.33,8215.35,8171.05,8191.73,0.00243,8179.95
02-Jun-16,10.21,48.89,2105.26,8229.5,8154.75,8231.45,0.00476,8218.95
03-Jun-16,10.18,49.37,2099.13,8262,8209.85,8283.3,0.00023,8220.8
06-Jun-16,10.14,49.27,2109.41,8234.7,8186.05,8292.25,-0.00241,8201.05
07-Jun-16,10.13,49.33,2112.13,8294.95,8216.4,8298.93,0.00794,8266.45
08-Jun-16,10.17,49.37,2119.12,8288.9,8252.05,8307,0.0008,8273.05
13-Jun-16,10.2,49.58,2079.06,8125.25,8063.9,8208.6,-0.01983,8110.6
14-Jun-16,10.19,49.66,2075.32,8134.95,8069.5,8272.38,-0.00022,8108.85
15-Jun-16,10.21,49.59,2071.5,8213.2,8123.15,8324.88,0.01198,8206.6
16-Jun-16,10.18,49.91,2077.99,8180.65,8074.45,8312.35,-0.00806,8140.75
17-Jun-16,10.27,49.71,2071.22,8195.25,8135.8,8353.6,0.00361,8170.2
20-Jun-16,10.25,50.34,2083.25,8244.15,8107.35,8351.08,0.00832,8238.5
21-Jun-16,10.23,50.41,2088.9,8257.25,8202.15,8394.63,-0.00226,8219.9
22-Jun-16,10.25,50.31,2085.45,8238.35,8153.25,8346.65,-0.00197,8203.7
23-Jun-16,10.21,50.2,2113.32,8285.6,8188.3,8379.1,0.0081,8270.45
24-Jun-16,10.19,49.83,2037.41,8100.7,7927.05,8256.15,-0.02223,8088.6
27-Jun-16,10.16,50.03,2000.54,8120.65,8039.35,8294.15,0.00075,8094.7
28-Jun-16,10.15,50.01,2036.09,8146.35,8086.85,8364,0.00409,8127.85
29-Jun-16,10.1,50.11,2070.77,8212.4,8157.65,8401.28,0.00933,8204
30-Jun-16,10.09,49.94,2098.86,8308.15,8242.1,8453.55,0.01016,8287.75
01-Jul-16,10.1,49.99,2102.95,8356.75,8308.65,8491.68,0.00489,8328.35
04-Jul-16,10.07,49.91,2088.55,8398.45,8364.7,8517.53,0.00507,8370.7
05-Jul-16,10.1,49.93,2099.73,8381.45,8319.95,8515.63,-0.00416,8335.95
07-Jul-16,10.04,50,2097.9,8361.95,8317.7,8476.58,0.00023,8337.9
08-Jul-16,10.03,49.91,2129.9,8353.3,8287.55,8444.48,-0.00176,8323.2
11-Jul-16,10.01,49.68,2137.16,8475.25,8407.05,8548.23,0.01724,8467.9
12-Jul-16,10.02,49.75,2152.14,8526.6,8479.2,8601.35,0.00626,8521.05
13-Jul-16,10,49.76,2152.43,8550.25,8493.55,8591.83,-0.00018,8519.5
14-Jul-16,10.04,49.8,2163.75,8571.4,8500.7,8592.5,0.00533,8565
15-Jul-16,10.01,49.82,2161.74,8594.8,8510.05,8596.2,-0.00276,8541.4
18-Jul-16,10.04,49.81,2166.89,8587.1,8494.35,8580.73,-0.00384,8508.7
19-Jul-16,10.06,49.65,2163.78,8540.05,8476.7,8583.7,0.00233,8528.55
20-Jul-16,10.06,49.51,2173.02,8569.9,8512.55,8604.58,0.00436,8565.85
21-Jul-16,10.05,49.54,2165.17,8585.25,8503.45,8594.15,-0.00653,8510.1
22-Jul-16,10.09,49.43,2175.03,8548.95,8489.8,8565.98,0.00365,8541.2
25-Jul-16,10.09,49.48,2168.48,8641.15,8517.2,8589.13,0.011,8635.65
26-Jul-16,10.06,49.55,2169.18,8644.9,8577.15,8630.1,-0.00522,8590.65
27-Jul-16,10.07,49.55,2166.58,8665,8572.05,8597.5,0.00292,8615.8
28-Jul-16,10.04,49.49,2170.06,8674.7,8625.25,8687.93,0.00584,8666.3
29-Jul-16,10.05,49.75,2173.6,8670.35,8631.15,8725.18,-0.00321,8638.5
01-Aug-16,10.06,49.75,2170.84,8711.3,8590.5,8701.88,-0.00023,8636.55
03-Aug-16,10.06,49.78,2163.79,8635.45,8529.6,8676.85,-0.01067,8544.85
04-Aug-16,10.04,49.81,2164.25,8601.4,8518.15,8734.5,0.00073,8551.1
05-Aug-16,10.03,49.63,2182.87,8689.4,8590.15,8779.43,0.01532,8683.15
08-Aug-16,10.03,49.61,2180.89,8723.5,8697.6,8828.98,0.00324,8711.35
10-Aug-16,10.07,49.76,2175.49,8690.1,8564.6,8751.88,-0.01574,8575.3
12-Aug-16,10.07,49.73,2184.05,8684.3,8604.45,8672.15,0.01123,8672.15
16-Aug-16,10.08,49.9,2178.15,8682.35,8600.45,8708.45,-0.00342,8642.55
17-Aug-16,10.08,49.82,2182.22,8667.1,8603.6,8715.23,-0.00214,8624.05
18-Aug-16,10.09,49.9,2187.02,8690.7,8645.05,8765.13,0.00569,8673.25
19-Aug-16,10.1,49.85,2183.87,8696.6,8647.1,8728.33,-0.00073,8666.9
22-Aug-16,10.11,49.76,2182.64,8684.85,8614,8691.25,-0.00437,8629.15
23-Aug-16,10.09,49.67,2186.9,8642.15,8580,8673.53,0.0004,8632.6
24-Aug-16,10.06,49.58,2175.44,8661.05,8620.9,8710.78,0.00205,8650.3
25-Aug-16,10.06,49.52,2172.47,8683.05,8583.65,8610.4,-0.00674,8592.2
26-Aug-16,10.05,49.4,2169.04,8622.95,8547.55,8614.55,-0.00229,8572.55
30-Aug-16,10.03,49.2,2176.12,8750.6,8642.25,8623.35,0.01984,8744.35
31-Aug-16,10.01,49.15,2170.95,8819.2,8754.05,8684.73,0.00477,8786.2
01-Sep-16,10,49.13,2170.86,8813.25,8759.95,8722.53,-0.00132,8774.65
02-Sep-16,9.96,49.11,2179.98,8824.1,8768.2,8733.48,0.00398,8809.65
06-Sep-16,9.98,49.22,2186.48,8950.85,8848.45,8787.73,0.01502,8943
07-Sep-16,10,49.36,2186.16,8968.7,8913.35,8825.15,-0.00281,8917.95
08-Sep-16,10.02,49.3,2181.3,8960.35,8896,8809.33,0.00387,8952.5
09-Sep-16,9.99,49.22,2127.81,8939.15,8858.7,8758,-0.00963,8866.7
14-Sep-16,10.01,49.13,2125.77,8739.85,8688.9,8656.88,-0.01593,8726.6
20-Sep-16,10.04,49.19,2139.76,8816.45,8759.3,8706.53,0.00563,8775.9
21-Sep-16,10,49.18,2163.12,8826.85,8757.3,8713.45,0.00014,8777.15
23-Sep-16,10,49.13,2164.69,8885.2,8820.3,8684.9,0.00618,8831.55
26-Sep-16,9.99,49.08,2146.1,8809.55,8715.1,8609.55,-0.01236,8723.05
27-Sep-16,9.96,48.95,2159.93,8768.5,8690.5,8613.18,-0.00191,8706.4
28-Sep-16,10.02,48.82,2171.37,8767.05,8703.15,8631.28,0.00444,8745.15
29-Sep-16,9.98,48.97,2151.13,8800.65,8558.25,8517.23,-0.01776,8591.25
30-Sep-16,9.97,48.84,2168.27,8637.15,8555.2,8576.83,0.00231,8611.15
13-Oct-16,9.92,48.35,2132.55,8681.55,8541.35,8500.98,-0.0044,8573.35
14-Oct-16,9.91,47.99,2132.98,8604.45,8549.8,8419.18,0.00117,8583.4
17-Oct-16,9.9,48.07,2126.5,8615.4,8506.15,8358.1,-0.00737,8520.4
18-Oct-16,9.89,48.16,2139.6,8685.1,8555.9,8353.58,0.01832,8677.9
19-Oct-16,9.91,48.06,2144.29,8698.75,8636.7,8382.83,-0.00217,8659.1
20-Oct-16,9.89,48.01,2141.34,8727,8678.3,8390.38,0.00464,8699.4
24-Oct-16,9.85,47.98,2151.33,8736.95,8684.15,8351.6,0.0011,8708.95
25-Oct-16,9.87,48.07,2143.16,8722.65,8663.45,8392.85,-0.00203,8691.3
26-Oct-16,9.86,48.07,2139.43,8657.3,8596.6,8371.55,-0.00879,8615.25
27-Oct-16,9.85,47.95,2133.04,8624.85,8550.25,8373.8,0,8615.25
28-Oct-16,9.84,47.97,2126.41,8653.75,8581.75,8408,0.00264,8638
01-Nov-16,9.88,48.03,2111.72,8669.6,8614.5,8432.65,-0.00136,8626.25
02-Nov-16,9.86,48.22,2097.94,8549.5,8504.85,8332.08,-0.0131,8514
04-Nov-16,9.85,48.29,2085.18,8504,8400.25,8271.08,-0.00947,8433.75
07-Nov-16,9.76,48.04,2131.52,8535.85,8481.45,8330.08,0.00748,8497.05
08-Nov-16,9.81,47.78,2139.56,8559.4,8480.1,8335.28,0.00546,8543.55
09-Nov-16,9.83,47.54,2163.26,8476.2,8002.25,8129.25,-0.01314,8432
10-Nov-16,9.92,47.37,2167.48,8598.45,8510.7,8392.83,0.01106,8525.75
11-Nov-16,9.9,47.83,2164.45,8460.6,8284.95,8257.8,-0.02728,8296.3
15-Nov-16,9.88,47.96,2180.39,8288.55,8093.2,8161.03,-0.0229,8108.45
16-Nov-16,9.89,48.05,2176.94,8210.05,8089.4,8159.4,0.00039,8111.6
17-Nov-16,9.9,47.88,2187.12,8151.25,8060.3,8143.1,-0.00391,8079.95
18-Nov-16,9.9,47.83,2181.9,8128.95,8048.3,8113.5,-0.00072,8074.1
21-Nov-16,9.93,47.91,2198.18,8102.45,7916.4,8024.45,-0.01812,7929.1
22-Nov-16,9.94,48.04,2202.94,8019.05,7938.15,8031.13,0.00919,8002.3
25-Nov-16,9.93,47.94,2213.35,8122.25,7976.75,8044.65,0.0139,8114.3
28-Nov-16,9.95,48.16,2201.72,8146.5,8066.5,8056.48,0.00155,8126.9
29-Nov-16,9.96,48.15,2204.66,8197.35,8128.7,8114.63,0.00187,8142.15
30-Nov-16,9.91,47.85,2198.81,8234.25,8139.25,8125.18,0.01006,8224.5
01-Dec-16,9.88,47.85,2191.08,8250.8,8185.05,8191.03,-0.00385,8192.9
02-Dec-16,9.89,47.93,2191.95,8159.3,8070.05,8144.28,-0.01303,8086.8
05-Dec-16,9.84,47.95,2204.71,8141.9,8056.85,8169.75,0.00517,8128.75
06-Dec-16,9.8,47.68,2212.23,8178.7,8130.85,8218.85,0.00177,8143.15
07-Dec-16,9.82,47.59,2241.35,8190.45,8077.5,8185.65,-0.00506,8102.05
08-Dec-16,9.77,47.47,2246.19,8256.25,8151.75,8270.38,0.01771,8246.85
09-Dec-16,9.76,47.16,2259.53,8274.95,8241.95,8329.58,0.00181,8261.75
12-Dec-16,9.77,47.37,2256.96,8230.65,8154.45,8307.75,-0.01107,8170.8
13-Dec-16,9.77,47.34,2271.72,8228.85,8155.8,8291.25,0.00622,8221.8
14-Dec-16,9.77,46.95,2253.28,8229.4,8165.1,8303,-0.0048,8182.45
15-Dec-16,9.75,47.04,2262.03,8225.9,8121.95,8291.13,-0.00353,8153.6
16-Dec-16,9.76,46.94,2258.07,8178.7,8127.45,8286.3,-0.00174,8139.45
19-Dec-16,9.77,46.82,2262.53,8132.5,8094.85,8259.25,-0.00432,8104.35
20-Dec-16,9.77,46.97,2270.76,8124.1,8062.75,8233.45,-0.00271,8082.4
21-Dec-16,9.76,46.94,2265.18,8112.55,8053.25,8267.1,-0.00261,8061.3
22-Dec-16,9.77,46.75,2260.96,8046.45,7964.95,8288.78,-0.01025,7979.1
28-Dec-16,9.77,47.04,2249.92,8100.55,8028.4,8388.33,0.00696,8034.85
29-Dec-16,9.78,46.91,2249.26,8111.1,8020.8,8417.45,0.00852,8103.6
30-Dec-16,9.81,46.92,2238.83,8197,8114.75,8462.03,0.01009,8185.8
04-Jan-17,9.83,47.14,2270.75,8218.5,8180.9,8486.08,0.00057,8190.5
05-Jan-17,9.84,47.43,2269,8282.65,8223.7,8522.55,0.01012,8273.8
06-Jan-17,9.82,47.32,2276.98,8306.85,8233.25,8527.68,-0.00363,8243.8
10-Jan-17,9.85,47.57,2268.9,8293.8,8261,8543.95,0.00542,8288.6
11-Jan-17,9.89,47.88,2275.32,8389,8322.25,8571.35,0.01104,8380.65
12-Jan-17,9.88,47.76,2270.44,8417.2,8382.3,8595.1,0.00316,8407.2
13-Jan-17,9.87,47.78,2274.64,8461.05,8373.15,8578.55,-0.00082,8400.35
16-Jan-17,9.9,47.61,2267.89,8426.7,8374.4,8635.43,0.00148,8412.8
17-Jan-17,9.98,47.95,2271.89,8440.9,8378.3,8632.28,-0.00176,8398
18-Jan-17,9.91,47.72,2263.69,8460.3,8397.4,8659.1,0.00226,8417
19-Jan-17,9.9,47.76,2271.31,8445.15,8404.05,8682.4,0.00215,8435.1
20-Jan-17,9.93,47.76,2265.2,8423.65,8340.95,8661.55,-0.01022,8349.35
23-Jan-17,9.93,48,2280.07,8404.15,8327.2,8639.5,0.00504,8391.5
24-Jan-17,9.88,47.94,2298.37,8480.95,8398.15,8656.45,0.01,8475.8
25-Jan-17,9.91,48.11,2296.68,8612.6,8493.95,8727.38,0.01487,8602.75
03-Feb-17,9.79,47.73,2297.42,8748.25,8707.75,8850.13,0.01594,8740.95
06-Feb-17,9.78,47.71,2292.56,8814.1,8770.2,8838.65,0.00685,8801.05
07-Feb-17,9.76,47.5,2293.08,8809.3,8741.05,8854.43,-0.00373,8768.3
08-Feb-17,9.72,47.33,2294.67,8791.25,8715,8846.43,0.00009,8769.05
09-Feb-17,9.72,47,2307.87,8821.4,8724.1,8840.58,0.00107,8778.4
10-Feb-17,9.73,47.01,2316.1,8822.1,8771.2,8858.5,0.00172,8793.55
13-Feb-17,9.73,47.02,2328.25,8826.9,8754.2,8864.95,0.00131,8805.05
14-Feb-17,9.73,47.03,2337.58,8820.45,8772.5,8947.63,-0.00145,8792.3
15-Feb-17,9.79,47.13,2349.25,8807.9,8712.85,8909.7,-0.00772,8724.7
16-Feb-17,9.77,47.36,2347.22,8783.95,8719.6,8939.03,0.00609,8778
17-Feb-17,9.73,47.28,2351.16,8896.45,8804.25,9011.33,0.00497,8821.7
21-Feb-17,9.73,47.15,2365.38,8920.8,8860.95,9004.35,0.00322,8907.85
22-Feb-17,9.71,47.4,2362.82,8960.75,8905.25,8989.08,0.00214,8926.9
23-Feb-17,9.7,47.42,2363.81,8982.15,8927.55,9013.3,0.00141,8939.5
27-Feb-17,9.72,47.5,2369.75,8951.8,8888.65,9011.1,-0.0048,8896.7
28-Feb-17,9.72,47.55,2363.64,8914.75,8867.6,8981.23,-0.00192,8879.6
01-Mar-17,9.69,47.46,2395.96,8960.8,8898.6,9004.5,0.00743,8945.8
02-Mar-17,9.68,47.27,2381.92,8992.5,8879.8,9016.48,-0.00516,8899.75
03-Mar-17,9.67,47.36,2383.12,8907.1,8860.1,9021.63,-0.00025,8897.55
06-Mar-17,9.65,47.21,2375.31,8967.8,8914,9052.85,0.00738,8963.45
07-Mar-17,9.66,47.21,2368.39,8977.85,8932.8,9103.35,-0.00185,8946.9
08-Mar-17,9.65,47.08,2362.98,8957.05,8891.95,9079.95,-0.00253,8924.3
09-Mar-17,9.63,46.95,2364.87,8945.8,8899.5,9075,0.0003,8927
10-Mar-17,9.57,47.13,2372.6,8975.7,8903.95,9064.8,0.00085,8934.55
14-Mar-17,9.49,46.47,2365.45,9122.75,9060.5,9151.6,0.01692,9087
15-Mar-17,9.48,46.84,2385.26,9106.55,9075.5,9160.95,-0.00024,9084.8
16-Mar-17,9.48,46.66,2381.38,9158.45,9128.55,9165.6,0.00756,9153.7
17-Mar-17,9.46,46.7,2378.25,9218.4,9147.6,9182.75,0.00069,9160.05
21-Mar-17,9.51,46.69,2344.02,9147.75,9087.2,9115.55,-0.00059,9121.5
22-Mar-17,9.51,46.82,2348.45,9072.9,9019.3,9101.48,-0.01003,9030.45
23-Mar-17,9.5,46.77,2345.96,9099.05,9048.6,9137,0.00617,9086.3
24-Mar-17,9.46,46.77,2343.98,9133.55,9089.4,9199.3,0.00239,9108
27-Mar-17,9.45,46.63,2341.59,9094.85,9024.65,9195.83,-0.00692,9045.2
28-Mar-17,9.42,46.53,2358.57,9110.4,9079.8,9223.48,0.00613,9100.8
29-Mar-17,9.41,46.53,2361.13,9153.15,9109.1,9225.88,0.00471,9143.8
30-Mar-17,9.42,46.39,2368.06,9183.15,9136.35,9244.45,0.00327,9173.75
31-Mar-17,9.44,46.42,2362.72,9191.7,9152.1,9245.4,0,9173.75
05-Apr-17,9.41,46.54,2352.95,9273.9,9215.4,9277.18,0.00991,9265.15
